,S,iteration,R_e,I_max
0,0,1197,3.6721311475409837,382
1,0,923,3.6,396
2,0,997,2.8133333333333335,342
3,0,1289,3.4271844660194173,306
4,0,704,3.2838709677419353,361
5,0,1272,4.228915662650603,569
6,0,1054,4.037974683544304,383
7,0,1095,4.0,388
8,0,1519,2.914473684210526,384
9,0,1296,4.076086956521739,328
10,0,954,2.9875,386
11,0,1033,3.538812785388128,342
12,0,1247,3.477832512315271,363
13,0,881,3.7058823529411766,362
14,0,1223,3.3833333333333333,367
15,0,613,2.8292682926829267,359
16,0,888,3.3591160220994474,304
17,0,1212,4.0246913580246915,319
18,0,901,3.5961538461538463,344
19,0,958,4.352112676056338,356
20,0,1332,3.8446601941747574,452
21,0,900,3.0961538461538463,343
22,0,1506,4.391304347826087,364
23,0,588,2.6607142857142856,342
24,0,970,3.8840579710144927,361
25,0,876,3.4533898305084745,350
26,0,837,2.823529411764706,388
27,0,1597,4.04,420
28,0,914,2.509259259259259,351
29,0,681,3.656050955414013,337
30,0,903,2.6812227074235806,387
31,0,1417,3.1025641025641026,412
32,0,1243,3.6058823529411765,343
33,0,1091,3.3777777777777778,357
34,0,1085,4.148148148148148,339
35,0,1057,3.8607594936708862,379
36,0,1288,3.54,356
37,0,771,3.2134831460674156,331
38,0,729,2.9562841530054644,351
39,0,1040,3.857142857142857,357
40,0,888,3.9386973180076628,438
41,0,931,3.411111111111111,350
42,0,798,3.0236686390532546,344
43,0,852,4.138686131386861,365
44,0,1172,3.3983050847457625,334
45,0,561,2.921450151057402,330
46,0,1062,3.015873015873016,349
47,0,860,3.1875,442
48,0,921,2.9285714285714284,351
49,0,1263,3.569105691056911,483
50,0,872,2.9047619047619047,395
51,0,952,3.8,330
52,0,1305,3.4939024390243905,360
53,0,1241,3.782608695652174,331
54,0,1223,2.9878048780487805,344
55,0,586,2.149584487534626,335
56,0,989,2.864864864864865,377
57,0,884,3.77037037037037,372
58,0,874,2.53781512605042,348
59,0,882,2.7665198237885464,313
60,0,1003,3.7755102040816326,341
61,0,1075,3.904059040590406,366
62,0,1465,3.8777777777777778,342
63,0,965,3.286206896551724,755
64,0,1581,3.40625,374
65,0,1176,3.061946902654867,409
66,0,895,3.4505494505494507,344
67,0,597,3.0785340314136125,378
68,0,1151,4.177142857142857,369
69,0,800,4.670329670329671,386
70,0,1340,3.5088757396449703,339
71,0,1116,3.21978021978022,390
72,0,904,2.9789915966386555,373
73,0,1467,6.153846153846154,490
74,0,789,2.9849624060150375,377
75,0,889,3.9782608695652173,347
76,0,503,2.624203821656051,362
77,0,1298,3.174757281553398,393
78,0,1293,3.5069767441860464,370
79,0,818,2.776315789473684,354
80,0,1178,3.357142857142857,341
81,0,1111,4.235668789808917,316
82,0,487,2.7028688524590163,353
83,0,1014,5.014925373134329,332
84,0,896,3.880952380952381,528
85,0,1241,3.279503105590062,452
86,0,650,2.9280575539568345,371
87,0,920,4.608695652173913,358
88,0,835,3.3321428571428573,341
89,0,917,3.4968152866242037,364
90,0,927,3.590643274853801,388
91,0,1173,2.6363636363636362,346
92,0,727,3.5954545454545452,444
93,0,1311,3.0842105263157893,347
94,0,1304,4.086666666666667,385
95,0,805,2.9086294416243654,312
96,0,1228,3.588709677419355,348
97,0,735,3.0338983050847457,315
98,0,1066,5.070652173913044,346
99,0,774,4.018018018018018,326
