,S,iteration,R_e,I_max
0,0.25,624,2.1160714285714284,261
1,0.25,620,2.5542168674698793,257
2,0.25,1063,3.311320754716981,266
3,0.25,1037,2.411764705882353,236
4,0.25,630,3.2685714285714287,264
5,0.25,591,1.8412698412698412,239
6,0.25,426,2.466292134831461,252
7,0.25,1013,2.8177966101694913,270
8,0.25,617,2.635593220338983,258
9,0.25,231,2.160919540229885,242
10,0.25,588,2.380281690140845,274
11,0.25,241,2.1839080459770117,263
12,0.25,102,0.158125,252
13,0.25,1125,3.5688073394495414,251
14,0.25,943,1.8902439024390243,255
15,0.25,168,2.443609022556391,251
16,0.25,992,2.6121212121212123,280
17,0.25,1028,3.3896103896103895,263
18,0.25,614,2.668103448275862,252
19,0.25,886,2.757575757575758,280
20,0.25,821,2.8841463414634148,281
21,0.25,601,3.3333333333333335,290
22,0.25,763,2.411764705882353,298
23,0.25,1111,2.5208333333333335,241
24,0.25,810,2.7796610169491527,240
25,0.25,883,2.5402843601895735,261
26,0.25,1146,3.1904761904761907,255
27,0.25,538,2.4671532846715327,231
28,0.25,590,2.869158878504673,267
29,0.25,765,3.445945945945946,250
30,0.25,831,2.980952380952381,251
31,0.25,173,1.8269230769230769,243
32,0.25,567,2.538720538720539,247
33,0.25,1027,2.4027777777777777,237
34,0.25,879,2.4549356223175964,273
35,0.25,1079,3.23,263
36,0.25,537,2.5076923076923077,283
37,0.25,883,2.619047619047619,258
38,0.25,653,2.558073654390935,261
39,0.25,500,3.3540372670807455,261
40,0.25,1240,2.6153846153846154,257
41,0.25,1352,2.788235294117647,267
42,0.25,540,2.909090909090909,263
43,0.25,895,3.1641791044776117,265
44,0.25,843,2.239130434782609,242
45,0.25,1254,2.8533333333333335,251
46,0.25,421,2.8086124401913874,256
47,0.25,150,1.9440993788819876,253
48,0.25,1091,2.5794392523364484,258
49,0.25,980,2.342857142857143,254
50,0.25,796,2.838709677419355,237
51,0.25,867,2.28125,247
52,0.25,606,2.7162162162162162,266
53,0.25,954,2.782051282051282,242
54,0.25,1183,2.786764705882353,269
55,0.25,791,3.3375,267
56,0.25,1021,2.9482758620689653,267
57,0.25,732,3.9043062200956937,277
58,0.25,761,2.717948717948718,240
59,0.25,639,3.5157232704402515,296
60,0.25,262,2.1650485436893203,252
61,0.25,1032,2.784431137724551,255
62,0.25,820,3.450980392156863,253
63,0.25,1206,2.802197802197802,241
64,0.25,869,3.2072072072072073,245
65,0.25,491,2.433526011560694,253
66,0.25,1309,2.0217391304347827,236
67,0.25,843,2.88663967611336,243
68,0.25,933,2.8780487804878048,250
69,0.25,248,2.132867132867133,250
70,0.25,827,4.597402597402597,232
71,0.25,384,2.3449691991786445,252
72,0.25,1005,2.908450704225352,220
73,0.25,873,3.5588235294117645,258
74,0.25,486,2.8461538461538463,263
75,0.25,745,3.0207253886010363,283
76,0.25,550,3.142857142857143,268
77,0.25,942,3.53125,245
78,0.25,967,2.4752475247524752,286
79,0.25,616,2.8895705521472395,275
80,0.25,879,3.4078947368421053,252
81,0.25,929,2.71875,259
82,0.25,922,2.6990291262135924,254
83,0.25,121,3.2612359550561796,239
84,0.25,203,2.8620689655172415,246
85,0.25,952,2.601449275362319,247
86,0.25,757,2.522935779816514,259
87,0.25,579,3.048780487804878,253
88,0.25,230,1.5714285714285714,255
89,0.25,1220,3.4895104895104896,269
90,0.25,393,2.1454545454545455,267
91,0.25,1517,3.783333333333333,323
92,0.25,152,2.4804469273743015,247
93,0.25,1135,3.5467625899280577,300
94,0.25,846,3.2531645569620253,254
95,0.25,607,2.327485380116959,271
96,0.25,971,2.9705882352941178,241
97,0.25,1063,2.8351648351648353,243
98,0.25,271,2.4060606060606062,247
99,0.25,819,3.138728323699422,248
100,0.25,1147,2.6901408450704225,275
101,0.25,193,1.9027777777777777,312
102,0.25,647,3.236559139784946,270
103,0.25,838,2.656140350877193,250
104,0.25,611,2.923076923076923,241
105,0.25,353,2.872093023255814,273
106,0.25,463,2.477272727272727,248
107,0.25,791,2.5408560311284045,242
108,0.25,978,2.3244444444444445,257
109,0.25,579,2.96319018404908,289
110,0.25,237,2.0096153846153846,249
111,0.25,1007,3.926829268292683,261
112,0.25,612,2.595505617977528,260
113,0.25,178,2.5454545454545454,266
114,0.25,957,2.9101123595505616,257
115,0.25,726,2.264705882352941,266
116,0.25,1265,1.9651162790697674,246
